bin	start	end	Center	ChromArm	chr
108	192800000	197899999	195349999.5	3q	chr3
109	187800000	192799999	190299999.5	3q	chr3
110	182800000	187799999	185299999.5	3q	chr3
111	177800000	182799999	180299999.5	3q	chr3
112	172800000	177799999	175299999.5	3q	chr3
113	167800000	172799999	170299999.5	3q	chr3
114	162800000	167799999	165299999.5	3q	chr3
115	157800000	162799999	160299999.5	3q	chr3
116	152800000	157799999	155299999.5	3q	chr3
117	147800000	152799999	150299999.5	3q	chr3
118	142800000	147799999	145299999.5	3q	chr3
119	137800000	142799999	140299999.5	3q	chr3
120	132800000	137799999	135299999.5	3q	chr3
121	127800000	132799999	130299999.5	3q	chr3
122	122800000	127799999	125299999.5	3q	chr3
123	117800000	122799999	120299999.5	3q	chr3
124	112800000	117799999	115299999.5	3q	chr3
125	107800000	112799999	110299999.5	3q	chr3
126	102800000	107799999	105299999.5	3q	chr3
127	97800000	102799999	100299999.5	3q	chr3
128	100000	5199999	2649999.5	4p	chr4
129	5200000	10599999	7899999.5	4p	chr4
130	10600000	15599999	13099999.5	4p	chr4
131	15600000	20599999	18099999.5	4p	chr4
132	20600000	25599999	23099999.5	4p	chr4
133	25600000	30599999	28099999.5	4p	chr4
134	30600000	35799999	33199999.5	4p	chr4
135	35800000	40899999	38349999.5	4p	chr4
136	40900000	45899999	43399999.5	4p	chr4
137	185900000	190899999	188399999.5	4q	chr4
138	180900000	185899999	183399999.5	4q	chr4
139	175900000	180899999	178399999.5	4q	chr4
140	170900000	175899999	173399999.5	4q	chr4
141	165900000	170899999	168399999.5	4q	chr4
142	160900000	165899999	163399999.5	4q	chr4
143	155900000	160899999	158399999.5	4q	chr4
144	150900000	155899999	153399999.5	4q	chr4
145	145900000	150899999	148399999.5	4q	chr4
146	140900000	145899999	143399999.5	4q	chr4
147	135900000	140899999	138399999.5	4q	chr4
148	130900000	135899999	133399999.5	4q	chr4
149	125900000	130899999	128399999.5	4q	chr4
150	120900000	125899999	123399999.5	4q	chr4
151	115900000	120899999	118399999.5	4q	chr4
152	110900000	115899999	113399999.5	4q	chr4
153	105900000	110899999	108399999.5	4q	chr4
154	100900000	105899999	103399999.5	4q	chr4
155	95900000	100899999	98399999.5	4q	chr4
156	90900000	95899999	93399999.5	4q	chr4
157	85900000	90899999	88399999.5	4q	chr4
158	80900000	85899999	83399999.5	4q	chr4
159	75900000	80899999	78399999.5	4q	chr4
160	70800000	75899999	73349999.5	4q	chr4
161	65700000	70799999	68249999.5	4q	chr4
162	60700000	65699999	63199999.5	4q	chr4
163	55600000	60699999	58149999.5	4q	chr4
164	100000	5099999	2599999.5	5p	chr5
165	5100000	10099999	7599999.5	5p	chr5
166	10100000	15099999	12599999.5	5p	chr5
167	15100000	20199999	17649999.5	5p	chr5
168	20200000	25299999	22749999.5	5p	chr5
169	25300000	30299999	27799999.5	5p	chr5
170	30300000	35399999	32849999.5	5p	chr5
171	35400000	40399999	37899999.5	5p	chr5
172	40400000	45399999	42899999.5	5p	chr5
173	175500000	180699999	178099999.5	5q	chr5
174	170400000	175399999	172899999.5	5q	chr5
175	165400000	170399999	167899999.5	5q	chr5
176	160400000	165399999	162899999.5	5q	chr5
177	155400000	160399999	157899999.5	5q	chr5
178	150300000	155399999	152849999.5	5q	chr5
179	145300000	150299999	147799999.5	5q	chr5
180	140300000	145299999	142799999.5	5q	chr5
181	135100000	140299999	137699999.5	5q	chr5
182	130100000	135099999	132599999.5	5q	chr5
183	125100000	130099999	127599999.5	5q	chr5
184	120100000	125099999	122599999.5	5q	chr5
185	115100000	120099999	117599999.5	5q	chr5
186	110100000	115099999	112599999.5	5q	chr5
187	105100000	110099999	107599999.5	5q	chr5
188	100100000	105099999	102599999.5	5q	chr5
189	95100000	100099999	97599999.5	5q	chr5
190	90000000	95099999	92549999.5	5q	chr5
191	85000000	89999999	87499999.5	5q	chr5
192	80000000	84999999	82499999.5	5q	chr5
193	75000000	79999999	77499999.5	5q	chr5
194	68200000	74999999	71599999.5	5q	chr5
195	63200000	68199999	65699999.5	5q	chr5
196	58200000	63199999	60699999.5	5q	chr5
197	53200000	58199999	55699999.5	5q	chr5
198	200000	5199999	2699999.5	6p	chr6
199	5200000	10199999	7699999.5	6p	chr6
200	10200000	15199999	12699999.5	6p	chr6
201	15200000	20199999	17699999.5	6p	chr6
202	20200000	25199999	22699999.5	6p	chr6
203	25200000	30299999	27749999.5	6p	chr6
204	30300000	35299999	32799999.5	6p	chr6
205	35300000	40299999	37799999.5	6p	chr6
206	40300000	45299999	42799999.5	6p	chr6
207	45300000	50299999	47799999.5	6p	chr6
208	50300000	55299999	52799999.5	6p	chr6
209	165600000	170999999	168299999.5	6q	chr6
210	160600000	165599999	163099999.5	6q	chr6
211	155400000	160599999	157999999.5	6q	chr6
212	150400000	155399999	152899999.5	6q	chr6
213	145400000	150399999	147899999.5	6q	chr6
214	140400000	145399999	142899999.5	6q	chr6
215	135400000	140399999	137899999.5	6q	chr6
216	130400000	135399999	132899999.5	6q	chr6
217	125400000	130399999	127899999.5	6q	chr6
218	120400000	125399999	122899999.5	6q	chr6
219	115400000	120399999	117899999.5	6q	chr6
220	110400000	115399999	112899999.5	6q	chr6
221	105400000	110399999	107899999.5	6q	chr6
222	100400000	105399999	102899999.5	6q	chr6
223	95100000	100399999	97749999.5	6q	chr6
224	90100000	95099999	92599999.5	6q	chr6
225	85100000	90099999	87599999.5	6q	chr6
226	80100000	85099999	82599999.5	6q	chr6
227	75100000	80099999	77599999.5	6q	chr6
228	70100000	75099999	72599999.5	6q	chr6
229	65100000	70099999	67599999.5	6q	chr6
230	100000	5199999	2649999.5	7p	chr7
231	5200000	10199999	7699999.5	7p	chr7
232	10200000	15199999	12699999.5	7p	chr7
233	15200000	20199999	17699999.5	7p	chr7
234	20200000	25199999	22699999.5	7p	chr7
235	25200000	30199999	27699999.5	7p	chr7
236	30200000	35199999	32699999.5	7p	chr7
237	35200000	40199999	37699999.5	7p	chr7
238	40200000	45199999	42699999.5	7p	chr7
239	45200000	50199999	47699999.5	7p	chr7
240	50200000	55399999	52799999.5	7p	chr7
241	153900000	159099999	156499999.5	7q	chr7
242	148900000	153899999	151399999.5	7q	chr7
243	143800000	148899999	146349999.5	7q	chr7
244	138200000	143799999	140999999.5	7q	chr7
245	133200000	138199999	135699999.5	7q	chr7
246	128000000	133199999	130599999.5	7q	chr7
247	123000000	127999999	125499999.5	7q	chr7
248	118000000	122999999	120499999.5	7q	chr7
249	113000000	117999999	115499999.5	7q	chr7
250	108000000	112999999	110499999.5	7q	chr7
251	103000000	107999999	105499999.5	7q	chr7
252	97700000	102999999	100349999.5	7q	chr7
253	92700000	97699999	95199999.5	7q	chr7
254	87700000	92699999	90199999.5	7q	chr7
255	82700000	87699999	85199999.5	7q	chr7
256	77700000	82699999	80199999.5	7q	chr7
257	71500000	77699999	74599999.5	7q	chr7
258	66500000	71499999	68999999.5	7q	chr7
259	100000	5099999	2599999.5	8p	chr8
260	5100000	11099999	8099999.5	8p	chr8
261	11100000	16599999	13849999.5	8p	chr8
262	16600000	21599999	19099999.5	8p	chr8
263	21600000	26599999	24099999.5	8p	chr8
264	26600000	31599999	29099999.5	8p	chr8
265	31600000	36599999	34099999.5	8p	chr8
266	36600000	41599999	39099999.5	8p	chr8
267	140900000	146299999	143599999.5	8q	chr8
268	135900000	140899999	138399999.5	8q	chr8
269	130900000	135899999	133399999.5	8q	chr8
270	125900000	130899999	128399999.5	8q	chr8
271	120900000	125899999	123399999.5	8q	chr8
272	115900000	120899999	118399999.5	8q	chr8
273	110900000	115899999	113399999.5	8q	chr8
274	105900000	110899999	108399999.5	8q	chr8
275	100900000	105899999	103399999.5	8q	chr8
276	95900000	100899999	98399999.5	8q	chr8
277	90900000	95899999	93399999.5	8q	chr8
278	85600000	90899999	88249999.5	8q	chr8
279	80600000	85599999	83099999.5	8q	chr8
280	75600000	80599999	78099999.5	8q	chr8
281	70600000	75599999	73099999.5	8q	chr8
282	65600000	70599999	68099999.5	8q	chr8
283	60600000	65599999	63099999.5	8q	chr8
284	55600000	60599999	58099999.5	8q	chr8
285	50600000	55599999	53099999.5	8q	chr8
286	200000	5199999	2699999.5	9p	chr9
287	5200000	10199999	7699999.5	9p	chr9
288	10200000	15199999	12699999.5	9p	chr9
289	15200000	20199999	17699999.5	9p	chr9
290	20200000	25199999	22699999.5	9p	chr9
291	25200000	30199999	27699999.5	9p	chr9
292	30200000	35199999	32699999.5	9p	chr9
293	135800000	141099999	138449999.5	9q	chr9
294	130500000	135799999	133149999.5	9q	chr9
295	125500000	130499999	127999999.5	9q	chr9
296	120500000	125499999	122999999.5	9q	chr9
297	115500000	120499999	117999999.5	9q	chr9
298	110500000	115499999	112999999.5	9q	chr9
299	105500000	110499999	107999999.5	9q	chr9
300	100500000	105499999	102999999.5	9q	chr9
301	95500000	100499999	97999999.5	9q	chr9
302	90100000	95499999	92799999.5	9q	chr9
303	85100000	90099999	87599999.5	9q	chr9
304	80100000	85099999	82599999.5	9q	chr9
305	75100000	80099999	77599999.5	9q	chr9
306	100000	5099999	2599999.5	10p	chr10
307	5100000	10099999	7599999.5	10p	chr10
308	10100000	15099999	12599999.5	10p	chr10
309	15100000	20499999	17799999.5	10p	chr10
310	20500000	25499999	22999999.5	10p	chr10
311	25500000	30499999	27999999.5	10p	chr10
312	30500000	35499999	32999999.5	10p	chr10
313	130100000	135499999	132799999.5	10q	chr10
314	124700000	130099999	127399999.5	10q	chr10
315	119700000	124699999	122199999.5	10q	chr10
316	114700000	119699999	117199999.5	10q	chr10
317	109700000	114699999	112199999.5	10q	chr10
318	104700000	109699999	107199999.5	10q	chr10
319	99700000	104699999	102199999.5	10q	chr10
320	94700000	99699999	97199999.5	10q	chr10
321	89700000	94699999	92199999.5	10q	chr10
322	84500000	89699999	87099999.5	10q	chr10
323	79400000	84499999	81949999.5	10q	chr10
324	74400000	79399999	76899999.5	10q	chr10
325	69400000	74399999	71899999.5	10q	chr10
326	64400000	69399999	66899999.5	10q	chr10
327	59400000	64399999	61899999.5	10q	chr10
328	54400000	59399999	56899999.5	10q	chr10
329	47600000	54399999	50999999.5	10q	chr10
330	100000	5299999	2699999.5	11p	chr11
331	5300000	10299999	7799999.5	11p	chr11
332	10300000	15299999	12799999.5	11p	chr11
333	15300000	20299999	17799999.5	11p	chr11
334	20300000	25299999	22799999.5	11p	chr11
335	25300000	30299999	27799999.5	11p	chr11
336	30300000	35299999	32799999.5	11p	chr11
337	35300000	40299999	37799999.5	11p	chr11
338	40300000	45299999	42799999.5	11p	chr11
339	45300000	50399999	47849999.5	11p	chr11
340	129900000	134899999	132399999.5	11q	chr11
341	124900000	129899999	127399999.5	11q	chr11
342	119900000	124899999	122399999.5	11q	chr11
343	114900000	119899999	117399999.5	11q	chr11
344	109900000	114899999	112399999.5	11q	chr11
345	104900000	109899999	107399999.5	11q	chr11
346	99900000	104899999	102399999.5	11q	chr11
347	94600000	99899999	97249999.5	11q	chr11
348	89300000	94599999	91949999.5	11q	chr11
349	84100000	89299999	86699999.5	11q	chr11
350	79100000	84099999	81599999.5	11q	chr11
351	74100000	79099999	76599999.5	11q	chr11
352	68800000	74099999	71449999.5	11q	chr11
353	63800000	68799999	66299999.5	11q	chr11
354	58800000	63799999	61299999.5	11q	chr11
355	200000	5199999	2699999.5	12p	chr12
356	5200000	10499999	7849999.5	12p	chr12
357	10500000	15499999	12999999.5	12p	chr12
358	15500000	20499999	17999999.5	12p	chr12
359	20500000	25499999	22999999.5	12p	chr12
360	25500000	30499999	27999999.5	12p	chr12
361	128500000	133799999	131149999.5	12q	chr12
362	123500000	128499999	125999999.5	12q	chr12
363	118400000	123499999	120949999.5	12q	chr12
364	113400000	118399999	115899999.5	12q	chr12
365	108200000	113399999	110799999.5	12q	chr12
366	103200000	108199999	105699999.5	12q	chr12
367	98200000	103199999	100699999.5	12q	chr12
368	93200000	98199999	95699999.5	12q	chr12
369	88200000	93199999	90699999.5	12q	chr12
370	83200000	88199999	85699999.5	12q	chr12
371	78200000	83199999	80699999.5	12q	chr12
372	73200000	78199999	75699999.5	12q	chr12
373	68200000	73199999	70699999.5	12q	chr12
374	63200000	68199999	65699999.5	12q	chr12
375	58200000	63199999	60699999.5	12q	chr12
376	53200000	58199999	55699999.5	12q	chr12
377	48200000	53199999	50699999.5	12q	chr12
378	43200000	48199999	45699999.5	12q	chr12
379	38200000	43199999	40699999.5	12q	chr12
380	109400000	115099999	112249999.5	13q	chr13
381	104400000	109399999	106899999.5	13q	chr13
382	99400000	104399999	101899999.5	13q	chr13
383	94400000	99399999	96899999.5	13q	chr13
384	89400000	94399999	91899999.5	13q	chr13
385	84100000	89399999	86749999.5	13q	chr13
386	79100000	84099999	81599999.5	13q	chr13
387	74100000	79099999	76599999.5	13q	chr13
388	69100000	74099999	71599999.5	13q	chr13
389	64100000	69099999	66599999.5	13q	chr13
390	59100000	64099999	61599999.5	13q	chr13
391	54100000	59099999	56599999.5	13q	chr13
392	49100000	54099999	51599999.5	13q	chr13
393	44100000	49099999	46599999.5	13q	chr13
394	39100000	44099999	41599999.5	13q	chr13
395	34100000	39099999	36599999.5	13q	chr13
396	29100000	34099999	31599999.5	13q	chr13
397	24100000	29099999	26599999.5	13q	chr13
398	102200000	107199999	104699999.5	14q	chr14
399	97200000	102199999	99699999.5	14q	chr14
400	92200000	97199999	94699999.5	14q	chr14
401	87200000	92199999	89699999.5	14q	chr14
402	82200000	87199999	84699999.5	14q	chr14
403	77200000	82199999	79699999.5	14q	chr14
404	72200000	77199999	74699999.5	14q	chr14
405	67200000	72199999	69699999.5	14q	chr14
406	62200000	67199999	64699999.5	14q	chr14
407	57200000	62199999	59699999.5	14q	chr14
408	52200000	57199999	54699999.5	14q	chr14
409	47200000	52199999	49699999.5	14q	chr14
410	42200000	47199999	44699999.5	14q	chr14
411	37200000	42199999	39699999.5	14q	chr14
412	32200000	37199999	34699999.5	14q	chr14
413	27200000	32199999	29699999.5	14q	chr14
414	22200000	27199999	24699999.5	14q	chr14
415	97400000	102399999	99899999.5	15q	chr15
416	92400000	97399999	94899999.5	15q	chr15
417	87400000	92399999	89899999.5	15q	chr15
418	81600000	87399999	84499999.5	15q	chr15
419	76600000	81599999	79099999.5	15q	chr15
420	71600000	76599999	74099999.5	15q	chr15
421	66600000	71599999	69099999.5	15q	chr15
422	61600000	66599999	64099999.5	15q	chr15
423	56600000	61599999	59099999.5	15q	chr15
424	51600000	56599999	54099999.5	15q	chr15
425	46600000	51599999	49099999.5	15q	chr15
426	41600000	46599999	44099999.5	15q	chr15
427	36600000	41599999	39099999.5	15q	chr15
428	31200000	36599999	33899999.5	15q	chr15
429	25100000	31199999	28149999.5	15q	chr15
430	100000	5099999	2599999.5	16p	chr16
431	5100000	10199999	7649999.5	16p	chr16
432	10200000	15599999	12899999.5	16p	chr16
433	15600000	21599999	18599999.5	16p	chr16
434	21600000	26799999	24199999.5	16p	chr16
435	26800000	32599999	29699999.5	16p	chr16
436	85000000	90199999	87599999.5	16q	chr16
437	80000000	84999999	82499999.5	16q	chr16
438	75000000	79999999	77499999.5	16q	chr16
439	69700000	74999999	72349999.5	16q	chr16
440	64700000	69699999	67199999.5	16q	chr16
441	59700000	64699999	62199999.5	16q	chr16
442	54700000	59699999	57199999.5	16q	chr16
443	49700000	54699999	52199999.5	16q	chr16
444	1	5199999	2600000	17p	chr17
445	5200000	10199999	7699999.5	17p	chr17
446	10200000	15199999	12699999.5	17p	chr17
447	15200000	20699999	17949999.5	17p	chr17
448	76000000	81195210	78597605	17q	chr17
449	71000000	75999999	73499999.5	17q	chr17
450	66000000	70999999	68499999.5	17q	chr17
451	60900000	65999999	63449999.5	17q	chr17
452	55900000	60899999	58399999.5	17q	chr17
453	50900000	55899999	53399999.5	17q	chr17
454	45900000	50899999	48399999.5	17q	chr17
455	40600000	45899999	43249999.5	17q	chr17
456	35600000	40599999	38099999.5	17q	chr17
457	30300000	35599999	32949999.5	17q	chr17
458	25300000	30299999	27799999.5	17q	chr17
459	100000	5099999	2599999.5	18p	chr18
460	5100000	10099999	7599999.5	18p	chr18
461	72900000	77999999	75449999.5	18q	chr18
462	67700000	72899999	70299999.5	18q	chr18
463	62700000	67699999	65199999.5	18q	chr18
464	57700000	62699999	60199999.5	18q	chr18
465	52700000	57699999	55199999.5	18q	chr18
466	47400000	52699999	50049999.5	18q	chr18
467	42400000	47399999	44899999.5	18q	chr18
468	37400000	42399999	39899999.5	18q	chr18
469	32400000	37399999	34899999.5	18q	chr18
470	27400000	32399999	29899999.5	18q	chr18
471	22400000	27399999	24899999.5	18q	chr18
472	200000	5199999	2699999.5	19p	chr19
473	5200000	10499999	7849999.5	19p	chr19
474	10500000	15499999	12999999.5	19p	chr19
475	15500000	20499999	17999999.5	19p	chr19
476	54100000	59099999	56599999.5	19q	chr19
477	49100000	54099999	51599999.5	19q	chr19
478	44100000	49099999	46599999.5	19q	chr19
479	39100000	44099999	41599999.5	19q	chr19
480	34100000	39099999	36599999.5	19q	chr19
481	29100000	34099999	31599999.5	19q	chr19
482	100000	5099999	2599999.5	20p	chr20
483	5100000	10099999	7599999.5	20p	chr20
484	10100000	15099999	12599999.5	20p	chr20
485	15100000	20099999	17599999.5	20p	chr20
486	20100000	25099999	22599999.5	20p	chr20
487	57600000	62899999	60249999.5	20q	chr20
488	52600000	57599999	55099999.5	20q	chr20
489	47600000	52599999	50099999.5	20q	chr20
490	42600000	47599999	45099999.5	20q	chr20
491	37600000	42599999	40099999.5	20q	chr20
492	32400000	37599999	34999999.5	20q	chr20
493	42800000	48099999	45449999.5	21q	chr21
494	37800000	42799999	40299999.5	21q	chr21
495	32800000	37799999	35299999.5	21q	chr21
496	27800000	32799999	30299999.5	21q	chr21
497	22800000	27799999	25299999.5	21q	chr21
498	17800000	22799999	20299999.5	21q	chr21
499	46000000	51199999	48599999.5	22q	chr22
500	41000000	45999999	43499999.5	22q	chr22
501	36000000	40999999	38499999.5	22q	chr22
502	31000000	35999999	33499999.5	22q	chr22
503	26000000	30999999	28499999.5	22q	chr22
504	20700000	25999999	23349999.5	22q	chr22
