chr,start,end,arm,gc,map,filtered.bases
chr1,78000001,79000000,1p,0.386428,0.969091615233778,0
chr1,79000001,80000000,1p,0.358592,0.970066608611549,0
chr1,80000001,81000000,1p,0.353428,0.961117655413283,0
chr1,81000001,82000000,1p,0.360031,0.974528285277859,0
chr1,82000001,83000000,1p,0.368016,0.979007610281447,215
chr1,83000001,84000000,1p,0.364036,0.846655440862285,0
chr1,84000001,85000000,1p,0.377918,0.976286653973213,0
chr1,85000001,86000000,1p,0.399552,0.98641483044366,0
chr1,86000001,87000000,1p,0.377571,0.946084006188927,0
chr1,87000001,88000000,1p,0.394708,0.965596535557075,0
chr1,88000001,89000000,1p,0.377171,0.986415990296942,0
chr1,89000001,90000000,1p,0.386802,0.958884857678878,0
chr1,90000001,91000000,1p,0.392425,0.965012705752605,0
chr1,91000001,92000000,1p,0.392492,0.954921180265488,362
chr1,92000001,93000000,1p,0.40808,0.974132547895062,75
chr1,93000001,94000000,1p,0.388838,0.95878721865411,0
chr1,94000001,95000000,1p,0.418095,0.965175985366875,0
chr1,95000001,96000000,1p,0.408688,0.97840084328649,0
chr1,96000001,97000000,1p,0.371977,0.970589704748715,0
chr1,97000001,98000000,1p,0.366373,0.963696969594167,0
chr1,98000001,99000000,1p,0.352919,0.983820031680911,0
chr1,99000001,100000000,1p,0.369112,0.962608518871497,0
chr1,100000001,101000000,1p,0.384278,0.983062431126517,153
chr1,101000001,102000000,1p,0.382957,0.972917925259086,0
chr1,102000001,103000000,1p,0.350853,0.968038787847073,0
chr1,103000001,104000000,1p,0.330294,0.882396953036223,245
chr1,104000001,105000000,1p,0.351573,0.875470176328544,13853
chr1,105000001,106000000,1p,0.345639,0.958820876285456,0
chr1,106000001,107000000,1p,0.347466,0.966720130496872,0
chr1,107000001,108000000,1p,0.36527,0.988257122223322,0
chr1,108000001,109000000,1p,0.389752,0.876713861782838,658
chr1,109000001,110000000,1p,0.426751,0.96026722673962,113
chr1,110000001,111000000,1p,0.470404,0.974530112534857,224
chr1,111000001,112000000,1p,0.412394,0.972339629343063,0
chr1,112000001,113000000,1p,0.433342,0.966752734235771,0
chr1,113000001,114000000,1p,0.427321,0.967004397233934,0
chr1,114000001,115000000,1p,0.408191,0.964249254081961,0
chr1,115000001,116000000,1p,0.399831,0.973117920336401,0
chr1,116000001,117000000,1p,0.417606,0.977559788308973,0
chr1,117000001,118000000,1p,0.426198,0.950380940309986,0
chr1,118000001,119000000,1p,0.391719,0.973525316273694,0
chr1,119000001,120000000,1p,0.394212,0.943310914949433,0
chr1,120000001,121000000,1p,0.371,0.762517891536112,242
chr1,125000001,126000000,1q,0,0,0
chr1,126000001,127000000,1q,0,0,0
chr1,127000001,128000000,1q,0,0,0
chr1,128000001,129000000,1q,0,0,0
chr1,129000001,130000000,1q,0,0,0
chr1,130000001,131000000,1q,0,0,0
chr1,131000001,132000000,1q,0,0,0
chr1,132000001,133000000,1q,0,0,0
chr1,133000001,134000000,1q,0,0,0
chr1,134000001,135000000,1q,0,0,0
chr1,135000001,136000000,1q,0,0,0
chr1,136000001,137000000,1q,0,0,0
chr1,137000001,138000000,1q,0,0,0
chr1,138000001,139000000,1q,0,0,0
chr1,139000001,140000000,1q,0,0,0
chr1,140000001,141000000,1q,0,0,0
chr1,141000001,142000000,1q,0,0,0
chr1,142000001,143000000,1q,0.15113,0.408523127247138,8592
chr1,143000001,144000000,1q,0.261117,0.385813671830479,3844
chr1,144000001,145000000,1q,0.290052,0.451237634202489,0
chr1,145000001,146000000,1q,0.403752,0.697715337280603,262
chr1,146000001,147000000,1q,0.371804,0.648148276379759,0
chr1,147000001,148000000,1q,0.422509,0.675817962801604,57
chr1,148000001,149000000,1q,0.246517,0.280512090969024,563
chr1,149000001,150000000,1q,0.403997,0.618298579419173,2642
chr1,150000001,151000000,1q,0.438066,0.975097258178726,91
chr1,151000001,152000000,1q,0.456599,0.981954990731437,0
chr1,152000001,153000000,1q,0.414099,0.936571294793713,0
chr1,153000001,154000000,1q,0.455255,0.968546096179802,0
chr1,154000001,155000000,1q,0.470134,0.977459499445387,0
chr1,155000001,156000000,1q,0.469545,0.95449814710879,0
chr1,156000001,157000000,1q,0.504268,0.983829584368305,0
chr1,157000001,158000000,1q,0.423084,0.969080246879926,75
chr1,158000001,159000000,1q,0.389084,0.945675843651874,0
chr1,159000001,160000000,1q,0.41069,0.948514153022885,0
chr1,160000001,161000000,1q,0.441275,0.967825119958262,0
chr1,161000001,162000000,1q,0.445826,0.897724089917936,0
chr1,162000001,163000000,1q,0.410917,0.964102391323131,0
chr1,163000001,164000000,1q,0.376093,0.96851917041197,0
chr1,164000001,165000000,1q,0.394336,0.970911748661729,0
chr1,165000001,166000000,1q,0.421932,0.975889217315226,0
chr1,166000001,167000000,1q,0.401974,0.951151013172483,63
chr1,167000001,168000000,1q,0.418088,0.990780556443141,0
chr1,168000001,169000000,1q,0.405309,0.968965049353866,143
chr1,169000001,170000000,1q,0.380362,0.971056929088408,229
chr1,170000001,171000000,1q,0.378515,0.961902476484715,0
chr1,171000001,172000000,1q,0.397487,0.969879377165608,0
chr1,172000001,173000000,1q,0.381497,0.957804719381722,0
chr1,173000001,174000000,1q,0.395673,0.960587137413101,161
chr1,174000001,175000000,1q,0.383066,0.937364891707048,0
chr1,175000001,176000000,1q,0.428835,0.97624803276241,0
chr1,176000001,177000000,1q,0.39241,0.971033138219141,0
chr1,177000001,178000000,1q,0.407004,0.96110546789703,0
chr1,178000001,179000000,1q,0.39864,0.969720496680008,0
chr1,179000001,180000000,1q,0.408026,0.971710931142923,0
chr1,180000001,181000000,1q,0.411509,0.968519302692984,0
chr1,181000001,182000000,1q,0.433382,0.977773756929046,0
chr1,182000001,183000000,1q,0.419301,0.984805427758245,50
chr1,183000001,184000000,1q,0.411391,0.978873027013263,0
chr1,184000001,185000000,1q,0.398936,0.969022759099309,0
chr1,185000001,186000000,1q,0.377092,0.959589039952266,0
chr1,186000001,187000000,1q,0.367066,0.972023194332321,0
chr1,187000001,188000000,1q,0.357133,0.961565669602391,0
chr1,188000001,189000000,1q,0.342571,0.977848375057822,0
chr1,189000001,190000000,1q,0.33983,0.968806217037049,0
chr1,190000001,191000000,1q,0.336441,0.985575480745579,0
chr1,191000001,192000000,1q,0.343076,0.979368982197617,0
chr1,192000001,193000000,1q,0.362486,0.971234737467037,0
chr1,193000001,194000000,1q,0.364908,0.973810813943672,0
chr1,194000001,195000000,1q,0.344261,0.977185848068785,0
chr1,195000001,196000000,1q,0.34207,0.977635800148985,0
chr1,196000001,197000000,1q,0.349261,0.931145268638591,0
chr1,197000001,198000000,1q,0.36289,0.971032945747861,0
chr1,198000001,199000000,1q,0.358997,0.977948242743385,0
chr1,199000001,200000000,1q,0.372443,0.976957455985922,0
chr1,200000001,201000000,1q,0.421856,0.984769429609511,134
chr1,201000001,202000000,1q,0.487769,0.98524104366796,2538
chr1,202000001,203000000,1q,0.455461,0.939204498165242,0
chr1,203000001,204000000,1q,0.464077,0.980342184957754,0
chr1,204000001,205000000,1q,0.477656,0.992573059329756,0
chr1,205000001,206000000,1q,0.434364,0.981267099000555,0
chr1,206000001,207000000,1q,0.348339,0.829330070334405,0
chr1,207000001,208000000,1q,0.406088,0.940476864298896,0
chr1,208000001,209000000,1q,0.43182,0.989010049463645,0
chr1,209000001,210000000,1q,0.420552,0.984074236786038,73
chr1,210000001,211000000,1q,0.411359,0.975074524181123,173
chr1,211000001,212000000,1q,0.418297,0.958437907607405,247
chr1,212000001,213000000,1q,0.426893,0.974604872571848,0
chr1,213000001,214000000,1q,0.412866,0.964911436343803,0
chr1,214000001,215000000,1q,0.406566,0.989963438971026,0
chr1,215000001,216000000,1q,0.372266,0.976976303471968,0
chr1,216000001,217000000,1q,0.363051,0.979745145584989,0
chr1,217000001,218000000,1q,0.377555,0.983551839282851,0
chr1,218000001,219000000,1q,0.385535,0.979277816544379,0
chr1,219000001,220000000,1q,0.377551,0.972274740557966,0
chr1,220000001,221000000,1q,0.400435,0.96745421153113,36
chr1,221000001,222000000,1q,0.389738,0.985123183466775,0
chr1,222000001,223000000,1q,0.406775,0.935687471929567,111
chr1,223000001,224000000,1q,0.416849,0.942595036258581,102
chr1,224000001,225000000,1q,0.42743,0.88216662358225,4861
chr1,225000001,226000000,1q,0.401168,0.959766431258471,0
chr1,226000001,227000000,1q,0.467329,0.983023169236795,0
chr1,227000001,228000000,1q,0.4231,0.969355768868971,81
chr1,228000001,229000000,1q,0.500766,0.929672841049875,0
chr1,229000001,230000000,1q,0.440307,0.981994993910926,0
chr1,230000001,231000000,1q,0.445584,0.984817665106279,0
chr1,231000001,232000000,1q,0.423873,0.980765349581606,193
chr1,232000001,233000000,1q,0.416348,0.9750334682408,0
chr1,233000001,234000000,1q,0.406617,0.985049661475731,23
chr1,234000001,235000000,1q,0.429106,0.96878937040085,0
chr1,235000001,236000000,1q,0.406264,0.980909061269436,0
chr1,236000001,237000000,1q,0.429946,0.982749559406035,0
chr1,237000001,238000000,1q,0.393258,0.971935294993052,456
chr1,238000001,239000000,1q,0.376128,0.983616640154097,5786
chr1,239000001,240000000,1q,0.374148,0.978695210649495,0
chr1,240000001,241000000,1q,0.401745,0.988972635323502,0
chr1,241000001,242000000,1q,0.390642,0.984467819290075,0
chr1,242000001,243000000,1q,0.409312,0.930527579124353,131
chr1,243000001,244000000,1q,0.392308,0.830664914782986,0
chr1,244000001,245000000,1q,0.423725,0.980019731535813,0
chr1,245000001,246000000,1q,0.438585,0.979380231392697,0
chr1,246000001,247000000,1q,0.416345,0.962456742663673,0
chr1,247000001,248000000,1q,0.4128,0.953530737411111,880
chr1,248000001,249000000,1q,0.347289,0.853388136171439,0
chr2,1000001,2000000,2p,0.467577,0.952385261093736,0
chr2,2000001,3000000,2p,0.443486,0.979878977520742,0
chr2,3000001,4000000,2p,0.443628,0.964804873759953,0
chr2,4000001,5000000,2p,0.386735,0.970831362172933,0
chr2,5000001,6000000,2p,0.360785,0.970267686864157,47
chr2,6000001,7000000,2p,0.400366,0.991466601339402,0
chr2,7000001,8000000,2p,0.411368,0.98943891695181,0
chr2,8000001,9000000,2p,0.438733,0.983849130169168,0
chr2,9000001,10000000,2p,0.447306,0.981353786982322,0
chr2,10000001,11000000,2p,0.480557,0.982725251990795,0
chr2,11000001,12000000,2p,0.452094,0.97682586089285,0
chr2,12000001,13000000,2p,0.410123,0.975721862567951,0
chr2,13000001,14000000,2p,0.359448,0.96465580187439,0
chr2,14000001,15000000,2p,0.373617,0.959856170653507,0
chr2,15000001,16000000,2p,0.414704,0.983185744632364,0
chr2,16000001,17000000,2p,0.410951,0.976735289734614,51
chr2,17000001,18000000,2p,0.382073,0.983214879811163,0
chr2,18000001,19000000,2p,0.394245,0.968630293582329,0
chr2,19000001,20000000,2p,0.405723,0.955034527190131,0
chr2,20000001,21000000,2p,0.448733,0.98399395283613,0
chr2,21000001,22000000,2p,0.387354,0.969918351294389,123
chr2,22000001,23000000,2p,0.369474,0.979013476019291,0
chr2,23000001,24000000,2p,0.445097,0.974425402841273,0
chr2,24000001,25000000,2p,0.405026,0.977347604535637,271
chr2,25000001,26000000,2p,0.460776,0.979549301570545,0
chr2,26000001,27000000,2p,0.460035,0.98694622162929,0
chr2,27000001,28000000,2p,0.467412,0.980624894730979,0
chr2,28000001,29000000,2p,0.429794,0.987730676080777,0
chr2,29000001,30000000,2p,0.432669,0.985910774782829,0
chr2,30000001,31000000,2p,0.428463,0.984728176966704,0
chr2,31000001,32000000,2p,0.427299,0.962067269069126,0
chr2,32000001,33000000,2p,0.396672,0.973475478912395,336
chr2,33000001,34000000,2p,0.404616,0.974099860127125,152
chr2,34000001,35000000,2p,0.379558,0.967687569491672,0
chr2,35000001,36000000,2p,0.353929,0.962340721061302,0
chr2,36000001,37000000,2p,0.389456,0.96354460465376,47
chr2,37000001,38000000,2p,0.397984,0.977560188464125,58
chr2,38000001,39000000,2p,0.421939,0.971333033776579,0
chr2,39000001,40000000,2p,0.39818,0.984696772896109,0
chr2,40000001,41000000,2p,0.37512,0.970601536534421,0
chr2,41000001,42000000,2p,0.363877,0.972133081039925,0
chr2,42000001,43000000,2p,0.429822,0.985197604737703,0
chr2,43000001,44000000,2p,0.44489,0.973125134622317,0
chr2,44000001,45000000,2p,0.397079,0.982096609001363,0
chr2,45000001,46000000,2p,0.429815,0.980254764841419,0
chr2,46000001,47000000,2p,0.432928,0.987982391266476,0
chr2,47000001,48000000,2p,0.462385,0.983992311292748,0
chr2,48000001,49000000,2p,0.402824,0.972165111269721,0
chr2,49000001,50000000,2p,0.382662,0.966764989325826,0
chr2,50000001,51000000,2p,0.360538,0.992589708246863,707
chr2,51000001,52000000,2p,0.352268,0.974345355497404,0
chr2,52000001,53000000,2p,0.359407,0.974331569797228,0
chr2,53000001,54000000,2p,0.375505,0.972690272218682,0
chr2,54000001,55000000,2p,0.406297,0.988508452395207,83
chr2,55000001,56000000,2p,0.398519,0.976442963716207,0
chr2,56000001,57000000,2p,0.380177,0.948107052584803,0
chr2,57000001,58000000,2p,0.356026,0.952657133736345,0
chr2,58000001,59000000,2p,0.362232,0.970860138777297,0
chr2,59000001,60000000,2p,0.37724,0.974275569655714,229
chr2,60000001,61000000,2p,0.422174,0.967432975469771,0
chr2,61000001,62000000,2p,0.410325,0.984886198300455,67
chr2,62000001,63000000,2p,0.419516,0.967666933797013,0
chr2,63000001,64000000,2p,0.374977,0.965294819519107,714
chr2,64000001,65000000,2p,0.405922,0.981460873721226,0
chr2,65000001,66000000,2p,0.437997,0.984207538821957,58
chr2,66000001,67000000,2p,0.396887,0.944270773691585,0
chr2,67000001,68000000,2p,0.381571,0.967337956225496,49
chr2,68000001,69000000,2p,0.396641,0.971893590521687,0
chr2,69000001,70000000,2p,0.416833,0.988945961190085,0
chr2,70000001,71000000,2p,0.437674,0.979967107080905,182
chr2,71000001,72000000,2p,0.45159,0.95904481067324,0
chr2,72000001,73000000,2p,0.407479,0.961052908946188,0
chr2,73000001,74000000,2p,0.441886,0.959328789967676,0
chr2,74000001,75000000,2p,0.454374,0.970443378334835,0
chr2,75000001,76000000,2p,0.407516,0.973484481389195,0
chr2,76000001,77000000,2p,0.365778,0.951258744830661,0
chr2,77000001,78000000,2p,0.349748,0.94329716688645,0
chr2,78000001,79000000,2p,0.349347,0.969210292680309,271
chr2,79000001,80000000,2p,0.381098,0.969871353800175,0
chr2,80000001,81000000,2p,0.389643,0.986354150683569,0
chr2,81000001,82000000,2p,0.358719,0.976106673478104,242
chr2,82000001,83000000,2p,0.350801,0.983617076814553,0
chr2,83000001,84000000,2p,0.354828,0.973033581918514,106
chr2,84000001,85000000,2p,0.384176,0.961001520897677,0
chr2,85000001,86000000,2p,0.46504,0.979397780841059,0
chr2,86000001,87000000,2p,0.430526,0.963260300552622,0
chr2,87000001,88000000,2p,0.417019,0.504856197606853,810
chr2,88000001,89000000,2p,0.415337,0.819406005086385,476
chr2,89000001,90000000,2p,0.323223,0.723236640588363,47975
chr2,90000001,91000000,2p,0.204895,0.503247924543903,24306
chr2,91000001,92000000,2p,0.174578,0.530422067638997,22038
chr2,96000001,97000000,2q,0.444098,0.753345627880834,0
chr2,97000001,98000000,2q,0.456669,0.819486876799782,0
chr2,98000001,99000000,2q,0.420247,0.850657245228339,147
chr2,99000001,100000000,2q,0.422435,0.969361542135285,327
chr2,100000001,101000000,2q,0.418923,0.969561791516247,0
chr2,101000001,102000000,2q,0.443587,0.98424027358783,0
chr2,102000001,103000000,2q,0.423453,0.983796389645957,0
chr2,103000001,104000000,2q,0.38477,0.975089886090742,0
chr2,104000001,105000000,2q,0.361137,0.98769921977737,0
chr2,105000001,106000000,2q,0.417687,0.980080382980408,82
chr2,106000001,107000000,2q,0.435461,0.967968451770997,62
chr2,107000001,108000000,2q,0.401406,0.906278729777085,0
chr2,108000001,109000000,2q,0.387158,0.915534003941449,0
chr2,109000001,110000000,2q,0.435788,0.916293784257827,521
chr2,110000001,111000000,2q,0.382562,0.716648483936953,0
chr2,111000001,112000000,2q,0.431204,0.746324781056613,0
chr2,112000001,113000000,2q,0.434692,0.750690566678605,45
chr2,113000001,114000000,2q,0.433289,0.905505443937477,0
chr2,114000001,115000000,2q,0.417397,0.793394824183893,2067
chr2,115000001,116000000,2q,0.376254,0.974995856995734,409
chr2,116000001,117000000,2q,0.360467,0.962048053212141,0
chr2,117000001,118000000,2q,0.364403,0.970261073224429,4675
chr2,118000001,119000000,2q,0.400636,0.933224746176715,0
chr2,119000001,120000000,2q,0.43596,0.972256189938637,0
chr2,120000001,121000000,2q,0.418624,0.977011318521943,0
chr2,121000001,122000000,2q,0.504072,0.993250803692718,360
chr2,122000001,123000000,2q,0.435097,0.971543404381438,0
chr2,123000001,124000000,2q,0.370707,0.980522139185493,0
chr2,124000001,125000000,2q,0.366515,0.967933185185995,0
chr2,125000001,126000000,2q,0.381498,0.971256140845979,200
chr2,126000001,127000000,2q,0.370258,0.96448229216764,0
chr2,127000001,128000000,2q,0.438916,0.986113039903399,133
chr2,128000001,129000000,2q,0.447043,0.985744619095746,722
chr2,129000001,130000000,2q,0.453113,0.969276047861496,0
chr2,130000001,131000000,2q,0.436601,0.870103806717454,1030
chr2,131000001,132000000,2q,0.45565,0.755956429527642,0
chr2,132000001,133000000,2q,0.409991,0.65159733476199,26051
chr2,133000001,134000000,2q,0.407546,0.974924777051814,16034
chr2,134000001,135000000,2q,0.411132,0.957159890836987,0
chr2,135000001,136000000,2q,0.415924,0.963508551523974,0
chr2,136000001,137000000,2q,0.402261,0.969625538919815,0
chr2,137000001,138000000,2q,0.395813,0.974819851322479,0
chr2,138000001,139000000,2q,0.375674,0.962281227882863,0
chr2,139000001,140000000,2q,0.372184,0.97904601219466,0
chr2,140000001,141000000,2q,0.35952,0.977151150555859,0
chr2,141000001,142000000,2q,0.346464,0.983990044462676,0
chr2,142000001,143000000,2q,0.349372,0.989327196618159,0
chr2,143000001,144000000,2q,0.364627,0.969863612902623,0
chr2,144000001,145000000,2q,0.369983,0.973363606993652,93
chr2,145000001,146000000,2q,0.372636,0.986041819253119,0
chr2,146000001,147000000,2q,0.353317,0.986973888489729,143
chr2,147000001,148000000,2q,0.361614,0.977240111750658,0
chr2,148000001,149000000,2q,0.374783,0.964444260809094,0
chr2,149000001,150000000,2q,0.357359,0.972524629742308,132
chr2,150000001,151000000,2q,0.384329,0.948326687748555,0
chr2,151000001,152000000,2q,0.383431,0.990792985420862,0
chr2,152000001,153000000,2q,0.39879,0.959307424243245,0
chr2,153000001,154000000,2q,0.390803,0.9774099243583,48
chr2,154000001,155000000,2q,0.365722,0.958286156160707,0
chr2,155000001,156000000,2q,0.351719,0.976284553742246,0
chr2,156000001,157000000,2q,0.347435,0.970742610137849,1383
chr2,157000001,158000000,2q,0.372723,0.961288465672307,0
chr2,158000001,159000000,2q,0.387136,0.965152513162079,0
chr2,159000001,160000000,2q,0.403359,0.950245684095201,406
chr2,160000001,161000000,2q,0.386328,0.972657783235558,0
chr2,161000001,162000000,2q,0.3893,0.956236648363321,0
chr2,162000001,163000000,2q,0.367404,0.968873970380725,238
chr2,163000001,164000000,2q,0.356085,0.9823985060974,0
chr2,164000001,165000000,2q,0.361193,0.987888091925085,0
chr2,165000001,166000000,2q,0.364637,0.975856192533448,0
chr2,166000001,167000000,2q,0.364101,0.972510311245986,0
chr2,167000001,168000000,2q,0.356554,0.952315648175763,26
chr2,168000001,169000000,2q,0.378165,0.967661795686366,0
chr2,169000001,170000000,2q,0.395112,0.98267111583683,59
chr2,170000001,171000000,2q,0.389872,0.954340881371445,87
chr2,171000001,172000000,2q,0.406811,0.98261266289336,29
chr2,172000001,173000000,2q,0.404148,0.976021992693705,0
chr2,173000001,174000000,2q,0.414184,0.970256536523081,0
chr2,174000001,175000000,2q,0.406504,0.97921593502763,0
chr2,175000001,176000000,2q,0.398232,0.975365995637505,0
chr2,176000001,177000000,2q,0.39743,0.956715298849507,44
chr2,177000001,178000000,2q,0.396525,0.981684311542963,51
chr2,178000001,179000000,2q,0.391274,0.967029439643182,0
chr2,179000001,180000000,2q,0.384768,0.965339681639654,0
chr2,180000001,181000000,2q,0.371633,0.972970646492127,0
chr2,181000001,182000000,2q,0.36074,0.96968994101867,0
chr2,182000001,183000000,2q,0.36847,0.975451111230573,0
chr2,183000001,184000000,2q,0.37227,0.962942177201277,0
chr2,184000001,185000000,2q,0.36526,0.956509207680758,37
chr2,185000001,186000000,2q,0.339833,0.977317447999755,0
chr2,186000001,187000000,2q,0.34584,0.959626505924735,0
chr2,187000001,188000000,2q,0.368963,0.971336393307026,0
chr2,188000001,189000000,2q,0.35523,0.971299489803509,0
chr2,189000001,190000000,2q,0.352617,0.981726623362605,0
chr2,190000001,191000000,2q,0.370654,0.974874688532251,311
chr2,191000001,192000000,2q,0.391067,0.975430710635276,139
chr2,192000001,193000000,2q,0.388465,0.9791163685349,0
chr2,193000001,194000000,2q,0.346303,0.962594559534876,124
chr2,194000001,195000000,2q,0.340407,0.961967546059263,0
chr2,195000001,196000000,2q,0.342764,0.957107314708865,0
chr2,196000001,197000000,2q,0.376884,0.957684240067955,0
chr2,197000001,198000000,2q,0.386778,0.969735042892048,0
chr2,198000001,199000000,2q,0.398312,0.956147177200213,0
chr2,199000001,200000000,2q,0.363475,0.978850276198387,0
chr2,200000001,201000000,2q,0.392518,0.978892206988469,0
chr2,201000001,202000000,2q,0.408018,0.973716768359557,115
chr2,202000001,203000000,2q,0.41371,0.966770685179651,0
chr2,203000001,204000000,2q,0.40795,0.973762146184914,3847
chr2,204000001,205000000,2q,0.404545,0.982697013671848,0
chr2,205000001,206000000,2q,0.382461,0.978128581717767,0
chr2,206000001,207000000,2q,0.410786,0.985632335522606,0
chr2,207000001,208000000,2q,0.400184,0.959259290664332,0
chr2,208000001,209000000,2q,0.415802,0.985464823416758,0
chr2,209000001,210000000,2q,0.378678,0.936500692323417,99
chr2,210000001,211000000,2q,0.367352,0.966482312681785,95
chr2,211000001,212000000,2q,0.364606,0.970859969568889,0
chr2,212000001,213000000,2q,0.353755,0.973516338261126,125
chr2,213000001,214000000,2q,0.355057,0.981182684998346,0
chr2,214000001,215000000,2q,0.36051,0.970733077944991,0
chr2,215000001,216000000,2q,0.370143,0.973370918348364,0
chr2,216000001,217000000,2q,0.401901,0.97388148304097,0
chr2,217000001,218000000,2q,0.441945,0.984450560949076,0
chr2,218000001,219000000,2q,0.447284,0.985716792446879,0
chr2,219000001,220000000,2q,0.47055,0.981640511181887,0
chr2,220000001,221000000,2q,0.472393,0.981194366218542,0
chr2,221000001,222000000,2q,0.386702,0.988817195922529,0
chr2,222000001,223000000,2q,0.387991,0.984484395722466,0
chr2,223000001,224000000,2q,0.405584,0.974562147573581,151
chr2,224000001,225000000,2q,0.403977,0.981316641387999,0
chr2,225000001,226000000,2q,0.399567,0.981057558954383,83
chr2,226000001,227000000,2q,0.369411,0.974417383097435,0
chr2,227000001,228000000,2q,0.391919,0.983650184311763,0
chr2,228000001,229000000,2q,0.403612,0.975537645337418,0
chr2,229000001,230000000,2q,0.377522,0.95375389796009,0
